Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Note
AFG,512.0,Afghanistan,Inflation,Headline Consumer Price Inflation,25.510000228881836,25.510000228881836,-12.520000457763672,-10.680000305175781,10.229999542236328,11.850000381469727,0.6000000238418579,7.650000095367432,5.0,9.899999618530273,13.399999618530273,22.200000762939453,18.200000762939453,15.899999618530273,20.399999618530273,8.699999809265137,-2.0999999046325684,18.399999618530273,27.5,71.5,47.400001525878906,43.79999923706055,58.189998626708984,33.9900016784668,20.010000228881836,14.0,14.010000228881836,14.010000228881836,14.010000228881836,14.010000228881836,0.0010000000474974513,-43.400001525878906,51.93000030517578,35.66299819946289,16.357999801635742,10.569000244140625,6.78000020980835,8.680000305175781,26.420000076293945,-6.809999942779541,2.180000066757202,11.800000190734863,6.440000057220459,7.389999866485596,4.670000076293945,-0.6600000262260437,4.380000114440918,4.976,0.63,2.302000045776367,5.442999839782715,5.062,10.6,5.565223884033409,Annual average inflation
ALB,914.0,Albania,Inflation,Headline Consumer Price Inflation,25.510000228881836,25.510000228881836,-12.520000457763672,-10.680000305175781,10.229999542236328,11.850000381469727,0.6000000238418579,7.650000095367432,5.0,9.899999618530273,13.399999618530273,22.200000762939453,18.200000762939453,15.899999618530273,20.399999618530273,8.699999809265137,-2.0999999046325684,18.399999618530273,27.5,71.5,-0.18000000715255737,35.71699905395508,225.99600219726562,85.00499725341797,22.565000534057617,7.7546067237854,12.798909187316895,33.212188720703125,20.551681518554688,0.40231868624687195,0.02503771148622036,3.1046555042266846,5.1845574378967285,2.377929925918579,2.830083131790161,2.357452869415283,2.4102840423583984,2.9079484939575195,3.40516996383667,2.290375232696533,3.565251350402832,3.4146783351898193,2.027812957763672,1.9347490072250366,1.6219470500946045,1.9101791381835938,1.291233777999878,1.987,2.03,1.4110000133514404,1.620886617169514,2.04147163139546,6.72520271530062,5.565223884033409,Annual average inflation
DZA,612.0,Algeria,Inflation,Headline Consumer Price Inflation,6.599999904632568,2.6266400814056396,3.6563100814819336,6.172840118408203,4.699610233306885,8.23031997680664,9.430740356445312,11.989299774169922,17.52389907836914,11.348600387573242,9.668000221252441,14.609999656677246,6.5929999351501465,7.835000038146973,6.309999942779541,10.432000160217285,14.006999969482422,5.85699987411499,5.938000202178955,9.17199993133545,9.272000312805176,25.899999618530273,31.700000762939453,20.5,29.0,29.799999237060547,18.700000762939453,5.699999809265137,4.949999809265137,2.5999999046325684,0.30000001192092896,4.199999809265137,1.4299999475479126,4.258999824523926,3.9719998836517334,1.3819999694824219,2.309999942779541,3.9313154220581055,4.380228519439697,9.36279296875,4.206700325012207,5.739104747772217,9.698162078857422,4.101907730102539,3.8766555786132812,4.391666412353516,5.800303936004639,5.591,3.51,1.9520000219345093,2.415130940833852,7.22606307415476,9.26551551551551,9.32217375928322,Annual average inflation
AGO,614.0,Angola,Inflation,Headline Consumer Price Inflation,7.96999979019165,5.78000020980835,15.800000190734863,15.670000076293945,27.420000076293945,29.0,80.69999694824219,69.01000213623047,48.459999084472656,101.30000305175781,46.70800018310547,1.3910000324249268,1.8329999446868896,1.8329999446868896,1.8329999446868896,1.8329999446868896,1.8329999446868896,1.8329999446868896,1.8329999446868896,1.8329999446868896,1.8329999446868896,85.26499938964844,299.09698486328125,1379.4759521484375,949.77099609375,2672.22998046875,4146.009765625,221.49200439453125,107.42900085449219,248.2480010986328,325.02899169921875,152.58599853515625,108.89299774169922,98.21900177001953,43.525001525878906,22.961000442504883,13.305000305175781,12.24899959564209,12.46500015258789,13.720999717712402,14.479999542236328,13.484000205993652,10.28499984741211,8.781999588012695,7.297999858856201,9.159000396728516,32.37773132324219,29.844,19.63,17.07900047302246,21.02400016784668,23.846111090525053,23.826818592387248,13.6441017767715,Annual average inflation
ATG,311.0,Antigua and Barbuda,Inflation,Headline Consumer Price Inflation,8.869999885559082,8.630000114440918,12.670000076293945,21.719999313354492,12.970000267028809,8.609999656677246,15.619999885559082,13.75,6.150000095367432,16.329999923706055,18.999000549316406,11.46500015258789,4.170000076293945,2.3459999561309814,3.8440001010894775,0.9959999918937683,0.5,3.6019999980926514,6.800000190734863,4.361999988555908,6.591000080108643,4.51800012588501,3.0,3.0999999046325684,6.485000133514404,2.736999988555908,2.9649999141693115,0.3619999885559082,3.26200008392334,1.1349999904632568,-0.16200000047683716,1.934999942779541,2.4079999923706055,1.99399995803833,2.0299999713897705,2.0989999771118164,1.7879999876022339,1.4160000085830688,5.334000110626221,-0.550000011920929,3.369999885559082,3.4570000171661377,3.377000093460083,1.059000015258789,1.0889999866485596,0.968999981880188,-0.48899999260902405,2.425,1.21,1.475000023841858,1.058,1.627,7.53107834634288,5.06713865364213,Annual average inflation
ARG,213.0,Argentina,Inflation,Headline Consumer Price Inflation,13.586899757385254,34.73249816894531,58.445899963378906,61.24909973144531,23.474899291992188,182.927001953125,443.96600341796875,176.0019989013672,175.51499938964844,159.5070037841797,100.76399993896484,104.47599792480469,164.77699279785156,343.8110046386719,626.718994140625,672.1810302734375,90.09660339355469,131.32699584960938,342.9549865722656,3079.81005859375,2313.9599609375,171.6719970703125,24.899900436401367,10.611499786376953,4.177350044250488,3.376120090484619,0.15569600462913513,0.5272579789161682,0.925000011920929,-1.1670000553131104,-0.9390000104904175,-1.065000057220459,25.868999481201172,13.442999839782715,4.415999889373779,9.642000198364258,10.89799976348877,8.829999923706055,8.585000038146973,6.269999980926514,10.461000442504883,9.774999618530273,10.043000221252441,10.619000434875488,38.08060073852539,26.538400650024414,39.400001525878906,25.675,34.28,53.54800033569336,42.01509475708008,48.40938,72.43076,128.4147077114772,Annual average inflation
ARM,911.0,Armenia,Inflation,Headline Consumer Price Inflation,13.586899757385254,34.73249816894531,58.445899963378906,61.24909973144531,23.474899291992188,182.927001953125,443.96600341796875,176.0019989013672,175.51499938964844,159.5070037841797,100.76399993896484,104.47599792480469,164.77699279785156,343.8110046386719,626.718994140625,672.1810302734375,90.09660339355469,131.32699584960938,342.9549865722656,3079.81005859375,2313.9599609375,171.6719970703125,24.899900436401367,3731.800048828125,5273.44921875,176.7429962158203,18.652999877929688,14.045999526977539,8.67300033569336,0.6480000019073486,-0.7910000085830688,3.1459999084472656,1.7899999618530273,4.543000221252441,5.927999973297119,0.7170000076293945,3.433000087738037,4.552999973297119,9.017999649047852,3.5439999103546143,7.27400016784668,7.6529998779296875,2.5399999618530273,5.788000106811523,2.9809999465942383,3.7309999465942383,-1.406000018119812,1.031,2.52,1.4429999589920044,1.2114357783846512,7.18483629443373,8.64091108973845,1.98041877615554,Annual average inflation
ABW,314.0,Aruba,Inflation,Headline Consumer Price Inflation,13.586899757385254,34.73249816894531,58.445899963378906,61.24909973144531,23.474899291992188,182.927001953125,443.96600341796875,176.0019989013672,175.51499938964844,159.5070037841797,100.76399993896484,104.47599792480469,164.77699279785156,343.8110046386719,626.718994140625,672.1810302734375,90.09660339355469,131.32699584960938,342.9549865722656,3079.81005859375,2313.9599609375,171.6719970703125,24.899900436401367,3731.800048828125,5273.44921875,176.7429962158203,3.200000047683716,2.996000051498413,1.875,2.2769999504089355,4.048999786376953,2.890000104904175,3.319999933242798,3.6600000858306885,2.5299999713897705,3.4000000953674316,3.609999895095825,5.389999866485596,8.960000038146973,-2.140000104904175,2.0799999237060547,4.320000171661377,0.6299999952316284,-2.369999885559082,0.41999998688697815,0.47999998927116394,-0.8899999856948853,-0.474,3.58,4.256999969482422,1.222000002861023,0.744,5.52,3.366,Annual average inflation
AUS,193.0,Australia,Inflation,Headline Consumer Price Inflation,3.440000057220459,6.138101577758789,6.024092674255371,9.090916633605957,15.41666316986084,15.162455558776855,13.322885513305664,12.309813499450684,8.00493335723877,9.122004508972168,10.135841369628906,9.48766803741455,11.351815223693848,10.038912773132324,3.9603962898254395,6.734694480895996,9.050352096557617,8.533014297485352,7.21594762802124,7.533897399902344,7.333023548126221,3.1766762733459473,1.0122301578521729,1.7536569833755493,1.9696329832077026,4.6277642250061035,2.615387439727783,0.22488272190093994,0.8601366877555847,1.4831321239471436,4.457431316375732,4.407132625579834,2.9815785884857178,2.732590913772583,2.343264102935791,2.6918296813964844,3.555284023284912,2.32761549949646,4.35029411315918,1.7711164951324463,2.918346405029297,3.3038461208343506,1.7627781629562378,2.4498889446258545,2.4879236221313477,1.508367896080017,1.2769927978515625,1.972,1.91,1.6100000143051147,0.8469055374596394,2.82,6.594097,5.5970149253731,Annual average inflation
AUT,122.0,Austria,Inflation,Headline Consumer Price Inflation,4.369999885559082,4.704258441925049,6.355142593383789,7.531079292297363,9.52178955078125,8.445261001586914,7.318686485290527,5.494603157043457,3.5743234157562256,3.7074127197265625,6.328319549560547,6.803037166595459,5.436026096343994,3.3391644954681396,5.663189888000488,3.1895151138305664,1.7054449319839478,1.4019553661346436,1.915718913078308,2.568347215652466,3.2618722915649414,3.337425470352173,4.020849704742432,3.6317827701568604,2.9534056186676025,2.243367910385132,1.8609700202941895,1.305985689163208,0.9224640130996704,0.5689857006072998,2.344871997833252,2.649995803833008,1.8103632926940918,1.3555521965026855,2.0612118244171143,2.2991316318511963,1.4415483474731445,2.16855788230896,3.2159464359283447,0.5063095092773438,1.8135322332382202,3.2865872383117676,2.485670328140259,2.000159502029419,1.6058048009872437,0.8965647220611572,0.8915959596633911,2.23,2.0,1.4900000095367432,1.3819106335189655,2.766667,8.54687,7.81413417002832,Annual average inflation
